AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,DayOfWeek,DeviceID_transaction_count,DeviceID_account_count,MerchantID_device_count,DeviceID_location_count,TransactionAmount_by_LoginAttempts,TimeSincePreviousTransaction
AC00441,246.93,2024-11-04 08:11:38,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,2023-04-17 16:37:01,Monday,8,8,25,8,1234.65,566.6490393518518
AC00057,40.32,2024-11-04 08:11:59,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,2023-03-29 16:42:38,Wednesday,7,7,20,6,40.32,585.6453819444445
AC00390,127.45,2024-11-04 08:11:22,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,2023-01-24 16:18:32,Tuesday,7,7,22,7,127.45,649.6616898148148
AC00313,56.17,2024-11-04 08:08:30,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,2023-09-20 16:55:42,Wednesday,4,4,23,3,56.17,410.63388888888886
AC00367,28.31,2024-11-04 08:09:17,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,2023-07-17 17:49:22,Monday,3,3,30,3,28.31,475.59716435185186
AC00291,59.12,2024-11-04 08:06:58,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,2023-02-06 16:24:24,Monday,4,4,24,4,59.12,636.6545601851852
AC00060,396.45,2024-11-04 08:11:13,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,2023-09-25 16:26:00,Monday,5,5,29,4,1189.35,405.65640046296295
AC00359,877.81,2024-11-04 08:07:50,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0,2023-03-13 17:23:24,Monday,3,3,27,3,877.81,601.6141898148148
AC00365,255.26,2024-11-04 08:10:51,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,2023-10-27 16:42:49,Friday,3,3,31,3,255.26,373.6444675925926
AC00267,124.76,2024-11-04 08:06:23,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,2023-10-16 16:32:56,Monday,6,5,31,6,124.76,384.6482291666667
AC00404,78.13,2024-11-04 08:12:18,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,2023-11-21 16:58:44,Tuesday,5,5,33,5,78.13,348.6344212962963
AC00202,649.28,2024-11-04 08:11:15,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,2023-03-02 17:53:32,Thursday,2,2,27,2,649.28,612.5956365740741
AC00478,795.31,2024-11-04 08:11:17,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,2023-10-12 17:07:40,Thursday,4,4,26,4,1590.62,388.62751157407405
AC00405,335.63,2024-11-04 08:07:32,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,2023-01-24 17:17:20,Tuesday,7,7,26,7,335.63,649.6181944444445
AC00421,328.47,2024-11-04 08:07:31,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,2023-07-31 18:39:50,Monday,1,1,32,1,328.47,461.5608912037037
AC00480,34.02,2024-11-04 08:11:45,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,2023-01-09 16:13:21,Monday,6,6,25,5,34.02,664.6655555555556
AC00120,241.42,2024-11-04 08:09:03,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,2023-04-20 18:57:43,Thursday,5,5,24,5,241.42,563.549537037037
AC00117,55.32,2024-11-04 08:08:03,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,2023-04-12 16:03:37,Wednesday,2,2,30,2,55.32,571.6697453703704
AC00011,304.31,2024-11-04 08:09:53,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,2023-07-26 16:52:28,Wednesday,4,4,32,3,304.31,466.6370949074074
AC00401,435.27,2024-11-04 08:11:12,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,2023-10-04 17:49:29,Wednesday,4,4,23,3,435.27,396.59841435185183
AC00282,164.49,2024-11-04 08:10:33,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,2023-12-13 16:01:38,Wednesday,5,5,32,5,164.49,326.6728587962963
AC00439,510.24,2024-11-04 08:11:35,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,2023-10-09 16:29:40,Monday,3,3,24,3,510.24,391.65410879629627
AC00296,626.9,2024-11-04 08:07:24,Debit,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,265.51,2023-11-27 16:45:57,Monday,4,4,18,4,626.9,342.63989583333336
AC00471,22.01,2024-11-04 08:06:31,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,1335.09,2023-03-27 16:45:18,Monday,5,5,22,5,22.01,587.6397337962962
AC00159,425.34,2024-11-04 08:07:07,Credit,Kansas City,D000661,139.23.212.102,M040,Online,69,Retired,121,1,3907.54,2023-02-13 16:59:39,Monday,4,4,26,4,425.34,629.6301851851852
AC00482,424.56,2024-11-04 08:09:02,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,5183.85,2023-02-21 17:45:55,Tuesday,3,3,31,3,424.56,621.5993865740741
AC00115,85.43,2024-11-04 08:06:45,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,2023-06-07 16:45:34,Wednesday,5,5,23,5,85.43,515.6397106481481
AC00055,169.5,2024-11-04 08:08:58,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,2023-09-07 16:51:27,Thursday,5,5,25,3,169.5,423.6371643518519
AC00419,104.63,2024-11-04 08:10:42,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78,2023-03-29 17:47:16,Wednesday,4,4,21,4,104.63,585.5996064814815
AC00374,316.95,2024-11-04 08:09:15,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,2023-08-04 17:53:40,Friday,5,5,26,4,316.95,457.5941550925926
AC00271,60.54,2024-11-04 08:09:57,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93,2023-12-14 17:52:37,Thursday,3,3,21,3,60.54,325.59537037037035
AC00456,292.56,2024-11-04 08:07:49,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,2023-03-03 17:37:41,Friday,6,6,19,6,292.56,611.6042592592593
AC00143,386.52,2024-11-04 08:07:09,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,2023-06-09 16:18:15,Friday,4,4,29,4,386.52,513.6589583333333
AC00427,112.07,2024-11-04 08:11:37,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,2023-10-02 16:35:22,Monday,2,2,29,2,112.07,398.6501736111111
AC00438,568.52,2024-11-04 08:06:25,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,2023-10-06 18:44:37,Friday,2,2,27,2,568.52,394.55680555555557
AC00002,263.99,2024-11-04 08:11:03,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,2023-05-16 16:07:30,Tuesday,4,4,25,4,527.98,537.6691319444444
AC00425,349.64,2024-11-04 08:08:09,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,2023-11-07 16:48:23,Tuesday,4,4,26,4,349.64,362.63872685185186
AC00325,601.4,2024-11-04 08:08:01,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,2023-05-30 17:43:25,Tuesday,9,9,31,8,601.4,523.6004166666667
AC00434,5.77,2024-11-04 08:11:32,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,2023-11-02 16:01:40,Thursday,4,4,27,4,5.77,367.6735185185185
AC00242,201.33,2024-11-04 08:11:41,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,2023-03-29 17:00:31,Wednesday,5,5,25,5,201.33,585.6327546296296
AC00319,298.42,2024-11-04 08:10:12,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75,2023-04-25 16:11:24,Tuesday,3,3,32,3,298.42,558.6658333333334
AC00460,521.06,2024-11-04 08:12:10,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42,2023-04-18 18:40:47,Tuesday,3,3,21,3,521.06,565.5634606481482
AC00461,117.28,2024-11-04 08:07:11,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,2023-02-09 16:34:53,Thursday,6,6,26,5,117.28,633.6474305555555
AC00395,189.12,2024-11-04 08:08:42,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,2023-11-13 16:42:28,Monday,4,4,26,4,189.12,356.6432175925926
AC00217,133.55,2024-11-04 08:10:18,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,2023-07-18 16:12:00,Tuesday,3,3,30,3,133.55,474.66548611111114
AC00053,143.21,2024-11-04 08:09:26,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,2023-01-13 17:00:16,Friday,5,5,34,5,143.21,660.6313657407408
AC00282,24.77,2024-11-04 08:12:15,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,2023-07-04 18:20:33,Tuesday,4,4,32,4,24.77,488.57756944444446
AC00110,233.92,2024-11-04 08:08:45,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,2023-10-20 16:54:28,Friday,7,7,25,7,233.92,380.63491898148146
AC00265,1212.51,2024-11-04 08:06:51,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,605.95,2023-10-04 16:36:29,Wednesday,3,3,25,3,1212.51,396.64608796296295
AC00239,232.12,2024-11-04 08:09:17,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,6689.87,2023-12-28 17:31:03,Thursday,7,7,34,7,232.12,311.6098842592593
AC00007,162.63,2024-11-04 08:08:22,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,2023-06-12 17:53:52,Monday,4,4,28,4,162.63,510.5934027777778
AC00022,91.53,2024-11-04 08:11:36,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,2023-03-13 16:32:12,Monday,3,3,21,3,91.53,601.6523611111111
AC00464,120.29,2024-11-04 08:06:50,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1,1362.39,2023-12-18 18:46:27,Monday,4,4,21,4,120.29,321.55582175925923
AC00014,174.25,2024-11-04 08:10:29,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,2023-07-17 18:54:31,Monday,2,2,24,2,174.25,475.55275462962965
AC00406,183.71,2024-11-04 08:09:51,Debit,Denver,D000488,86.103.2.29,M074,ATM,38,Engineer,102,1,552.52,2023-06-19 18:22:10,Monday,3,3,27,3,183.71,503.5747800925926
AC00445,345.39,2024-11-04 08:08:16,Credit,Phoenix,D000097,131.41.45.13,M081,Online,58,Engineer,80,1,6451.96,2023-10-23 17:13:57,Monday,5,5,23,5,345.39,377.62105324074076
AC00236,922.55,2024-11-04 08:11:07,Debit,Detroit,D000206,21.97.154.92,M004,ATM,63,Retired,87,1,4715.84,2023-01-23 16:32:48,Monday,3,3,31,2,922.55,650.6516087962963
AC00220,259.91,2024-11-04 08:09:38,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,2023-11-06 16:34:10,Monday,5,5,33,5,259.91,363.64962962962966
AC00140,154.71,2024-11-04 08:09:42,Debit,San Diego,D000494,167.104.180.235,M030,Online,34,Doctor,157,1,1523.72,2023-07-03 16:40:24,Monday,5,5,26,5,154.71,489.6453472222222
AC00098,1340.19,2024-11-04 08:06:53,Credit,Austin,D000574,165.114.224.47,M012,Online,54,Engineer,30,1,8654.28,2023-09-29 17:22:10,Friday,7,7,19,7,1340.19,401.61438657407405
AC00303,24.56,2024-11-04 08:12:05,Debit,Mesa,D000428,16.131.3.140,M033,Branch,64,Doctor,69,1,9869.93,2023-10-20 17:27:35,Friday,6,6,27,6,24.56,380.6142361111111
AC00373,568.07,2024-11-04 08:07:32,Debit,Washington,D000018,8.243.4.138,M054,ATM,48,Doctor,115,1,10556.81,2023-08-28 17:03:53,Monday,3,3,27,3,568.07,433.6275347222222
AC00438,9.61,2024-11-04 08:09:10,Credit,San Diego,D000453,132.127.5.187,M043,Online,58,Doctor,179,1,12883.91,2023-06-22 18:37:29,Thursday,7,7,23,6,9.61,500.5636689814815
AC00437,392.96,2024-11-04 08:08:38,Debit,Kansas City,D000141,186.54.68.246,M022,Online,24,Student,100,1,791.65,2023-11-20 16:28:09,Monday,5,5,17,5,392.96,349.65311342592594
AC00106,716.93,2024-11-04 08:08:12,Credit,Milwaukee,D000322,101.223.82.253,M052,Online,60,Retired,34,1,4064.02,2023-09-14 16:49:33,Thursday,3,3,26,3,716.93,416.6379513888889
AC00310,223.85,2024-11-04 08:08:01,Debit,Kansas City,D000481,133.223.159.151,M009,ATM,53,Engineer,55,4,2929.91,2023-10-02 16:36:10,Monday,4,4,30,4,895.4,398.64711805555555
AC00149,230.66,2024-11-04 08:10:44,Debit,Houston,D000526,60.43.160.195,M049,Branch,21,Student,135,1,618.05,2023-03-27 18:16:04,Monday,4,4,23,4,230.66,587.5796296296296
AC00373,442.12,2024-11-04 08:08:21,Debit,Los Angeles,D000645,168.36.49.167,M047,Online,19,Student,260,1,1375.8,2023-12-21 16:37:03,Thursday,6,6,28,6,442.12,318.6467361111111
AC00425,644.17,2024-11-04 08:08:04,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,29,Engineer,72,1,1143.52,2023-03-02 16:05:09,Thursday,1,1,21,1,644.17,612.6686921296297
AC00010,508.68,2024-11-04 08:09:32,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,2023-06-26 16:16:50,Monday,6,6,26,6,508.68,496.6615972222222
AC00348,858.63,2024-11-04 08:10:47,Credit,San Francisco,D000019,175.230.206.232,M002,Branch,27,Student,185,1,1872.96,2023-04-18 17:27:23,Tuesday,4,4,31,4,858.63,565.6134722222222
AC00011,25.36,2024-11-04 08:11:05,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,2023-07-17 17:08:24,Monday,1,1,29,1,25.36,475.62686342592593
AC00453,147.62,2024-11-04 08:07:22,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,71,Retired,133,1,2115.8,2023-09-01 17:26:02,Friday,2,2,33,2,147.62,429.61203703703706
AC00178,115.02,2024-11-04 08:08:38,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,37,Doctor,175,1,7643.66,2023-09-11 16:19:04,Monday,3,3,31,3,115.02,419.6594212962963
AC00265,383.37,2024-11-04 08:11:07,Debit,Fort Worth,D000321,18.72.115.111,M066,Branch,30,Engineer,24,1,8901.93,2023-01-24 17:23:56,Tuesday,7,7,34,7,383.37,649.616099537037
AC00018,98.54,2024-11-04 08:10:02,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,2023-08-11 16:18:46,Friday,3,3,21,3,98.54,450.6606018518519
AC00075,83.24,2024-11-04 08:10:52,Credit,Fort Worth,D000607,21.28.32.1,M009,Branch,55,Doctor,164,1,1181.31,2023-10-16 18:35:11,Monday,1,1,30,1,83.24,384.56644675925924
AC00464,196.16,2024-11-04 08:08:32,Debit,Virginia Beach,D000164,204.34.243.93,M099,Branch,27,Engineer,146,1,9418.86,2023-02-24 16:29:23,Friday,5,5,23,5,196.16,618.6521875
AC00170,129.94,2024-11-04 08:06:35,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,32,Engineer,235,1,7954.92,2023-01-02 16:36:02,Monday,5,5,21,5,129.94,671.6462152777777
AC00235,306.9,2024-11-04 08:10:48,Debit,Colorado Springs,D000078,96.115.67.230,M047,Online,46,Engineer,51,1,9418.08,2023-11-30 16:31:03,Thursday,5,5,28,5,306.9,339.65260416666666
AC00013,114.98,2024-11-04 08:09:24,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,2023-11-01 16:52:01,Wednesday,4,4,24,3,114.98,368.63707175925924
AC00397,756.59,2024-11-04 08:11:40,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,27,Student,17,1,420.65,2023-03-06 16:47:02,Monday,4,4,19,4,756.59,608.6421064814815
AC00423,503.76,2024-11-04 08:09:22,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,22,Student,35,1,447.82,2023-11-27 18:32:49,Monday,3,3,22,3,503.76,342.5670486111111
AC00154,143.03,2024-11-04 08:10:42,Debit,San Antonio,D000469,197.162.55.147,M055,ATM,63,Retired,147,1,7981.45,2023-07-31 16:37:46,Monday,7,7,22,5,143.03,461.64787037037036
AC00068,1045.22,2024-11-04 08:07:35,Debit,Columbus,D000400,77.7.223.184,M077,ATM,53,Retired,73,1,1829.9,2023-11-22 16:13:39,Wednesday,3,3,16,3,1045.22,347.6624537037037
AC00318,245.54,2024-11-04 08:10:26,Debit,New York,D000536,44.197.126.59,M089,ATM,25,Student,180,1,985.06,2023-03-21 16:29:31,Tuesday,4,4,22,3,245.54,593.6534143518519
AC00396,254.37,2024-11-04 08:06:56,Credit,Dallas,D000477,143.212.47.226,M012,Online,51,Engineer,174,1,8849.26,2023-04-20 18:26:50,Thursday,3,3,19,3,254.37,563.5695138888889
AC00121,213.76,2024-11-04 08:09:36,Credit,Dallas,D000574,51.250.122.123,M009,ATM,78,Retired,282,1,3528.72,2023-03-01 17:52:14,Wednesday,7,7,30,7,213.76,613.5953935185186
AC00336,327.86,2024-11-04 08:06:30,Debit,Fresno,D000655,188.124.181.12,M051,Online,40,Engineer,104,1,480.16,2023-02-10 16:52:48,Friday,4,4,23,4,327.86,632.6345138888889
AC00468,2.5,2024-11-04 08:09:53,Debit,San Diego,D000673,44.73.3.217,M042,Online,47,Doctor,107,1,12145.27,2023-07-21 16:43:11,Friday,6,6,28,6,2.5,471.6435416666667
AC00282,300.08,2024-11-04 08:12:18,Credit,Austin,D000266,85.240.254.83,M040,Online,68,Doctor,47,1,13546.75,2023-10-09 17:02:43,Monday,4,3,26,4,300.08,391.6316550925926
AC00498,56.98,2024-11-04 08:07:42,Credit,Oklahoma City,D000256,101.90.40.193,M086,ATM,43,Engineer,122,2,5688.37,2024-01-01 16:34:10,Monday,5,5,20,5,113.96,307.64828703703705
AC00085,407.65,2024-11-04 08:06:30,Debit,Boston,D000544,98.255.160.110,M041,Online,26,Engineer,62,1,8346.64,2023-07-07 16:11:38,Friday,3,3,20,3,407.65,485.6631018518519
AC00092,115.83,2024-11-04 08:10:02,Debit,Fresno,D000663,124.6.134.78,M086,Branch,39,Engineer,167,1,6481.04,2023-05-22 17:09:52,Monday,9,9,20,7,115.83,531.6251157407407
AC00295,53.57,2024-11-04 08:08:43,Debit,Houston,D000489,45.64.74.86,M025,ATM,69,Retired,121,1,1651.33,2023-08-16 16:17:12,Wednesday,5,5,29,4,53.57,445.660775462963
AC00358,63.34,2024-11-04 08:10:13,Credit,Detroit,D000434,69.82.61.135,M028,Online,46,Doctor,165,1,11174.94,2023-11-17 16:02:02,Friday,6,6,33,6,63.34,352.67234953703706
AC00311,317.87,2024-11-04 08:11:32,Debit,Detroit,D000314,79.227.202.117,M076,Online,27,Student,91,1,145.5,2023-05-22 17:29:35,Monday,3,3,21,3,317.87,531.6124652777778
AC00066,331.65,2024-11-04 08:11:00,Debit,Portland,D000037,26.240.219.199,M006,Online,41,Engineer,61,1,4172.57,2023-08-25 17:26:07,Friday,8,8,16,8,331.65,436.61450231481484
AC00340,5.04,2024-11-04 08:10:48,Debit,Washington,D000021,63.67.150.226,M001,ATM,56,Retired,41,1,5558.36,2023-11-27 16:38:34,Monday,2,2,31,2,5.04,342.64738425925924
AC00284,214.54,2024-11-04 08:11:56,Credit,Detroit,D000112,195.226.203.234,M026,Online,70,Doctor,247,1,11151.53,2023-08-04 17:46:44,Friday,6,6,42,6,214.54,457.60083333333336
AC00208,598.81,2024-11-04 08:10:13,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,57,Doctor,158,1,1415.52,2023-09-04 16:48:35,Monday,6,5,23,6,598.81,426.64002314814815
AC00176,841.28,2024-11-04 08:09:58,Debit,Tucson,D000276,101.223.82.253,M083,Online,26,Student,80,1,1103.64,2023-08-09 17:34:26,Wednesday,3,3,22,3,841.28,452.60800925925923
AC00053,38.15,2024-11-04 08:07:42,Debit,Mesa,D000687,77.21.150.75,M005,Online,26,Student,108,1,303.68,2023-09-07 16:07:40,Thursday,4,4,32,4,38.15,423.6666898148148
AC00320,1036.66,2024-11-04 08:09:24,Debit,San Antonio,D000015,53.218.177.171,M062,Branch,58,Doctor,144,1,5541.57,2023-07-11 16:39:53,Tuesday,4,4,29,4,1036.66,481.6454976851852
AC00382,124.72,2024-11-04 08:07:25,Debit,Oklahoma City,D000118,147.234.20.46,M004,Branch,33,Engineer,105,1,6309.8,2023-07-03 17:14:07,Monday,2,2,31,2,124.72,489.6203472222222
AC00384,302.45,2024-11-04 08:11:55,Credit,San Antonio,D000052,203.99.96.114,M059,Branch,78,Retired,40,1,5133.61,2023-09-25 17:13:36,Monday,4,4,27,4,302.45,405.6238310185185
